States,Month_Year,temperature,humidity,precipitation,wind_speed,solar_radiation,max_temp,min_temp,dew_point,pressure,clouds,Generation,Type
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,5.5,Bioenergy
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,8147.68,Coal
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,767.93,Gas
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,128.48,Hydro
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,168.86,Nuclear
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,0.0,Other Fossil
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,0.0,Other Renewables
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,233.43,Solar
Gujarat,2019-01-01,18.803333333333335,44.53333333333333,0.0,1.98,205.53333333333333,27.253333333333334,11.2,5.406666666666666,1010.8,24.0,779.91,Wind
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,7.81,Bioenergy
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,7137.89,Coal
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,628.98,Gas
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,96.75,Hydro
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,152.01,Nuclear
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,0.0,Other Fossil
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,0.0,Other Renewables
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,236.82,Solar
Gujarat,2019-02-01,21.91111111111111,42.370370370370374,0.0,2.0962962962962965,244.40740740740742,29.57037037037037,14.592592592592593,7.374074074074074,1008.3333333333334,23.51851851851852,752.51,Wind
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,14.84,Bioenergy
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,7906.47,Coal
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,907.14,Gas
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,85.77,Hydro
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,168.1,Nuclear
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,0.0,Other Fossil
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,0.0,Other Renewables
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,304.2,Solar
Gujarat,2019-03-01,27.446666666666665,32.63333333333333,0.3,1.96,299.76666666666665,35.35333333333333,19.10666666666667,8.09,1005.8666666666667,21.7,789.41,Wind
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,13.68,Bioenergy
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,7876.22,Coal
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,1294.74,Gas
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,57.19,Hydro
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,161.39,Nuclear
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,0.0,Other Fossil
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,7.77,Other Renewables
Gujarat,2019-04-01,33.686206896551724,30.275862068965516,3.0,2.217241379310345,328.2413793103448,41.93103448275862,25.779310344827586,12.00344827586207,1001.9655172413793,14.862068965517242,308.85,Solar
