Dates,temperature,humidity,precipitation,wind_speed,solar_radiation,max_temp,min_temp,dew_point,pressure,clouds,Day of Week_Monday,Day of Week_Saturday,Day of Week_Sunday,Day of Week_Thursday,Day of Week_Tuesday,Day of Week_Wednesday,Season_Summer,Season_Winter,Usage
2019-01-02,-1.6842332475356467,-0.5079446909390726,-0.36012254146755907,-0.9391551868903115,-0.2855354011731303,-0.9238544599531225,-2.194512520718662,-1.4959105881536254,1.7940396729221866,-1.446888287866467,-0.40692065023099483,-0.3975732839729453,-0.41155936083614564,-0.41155936083614564,-0.4161761818978651,2.4574815739440474,-0.5741338081228362,1.7681732894739688,319.5
2019-01-03,-1.6095425664738765,-0.7108399833419955,-0.36012254146755907,-0.9391551868903115,-0.2855354011731303,-0.9238544599531225,-1.8632966815956489,-1.6129676748652837,1.967781308362992,-0.445768423901183,-0.40692065023099483,-0.3975732839729453,-0.41155936083614564,2.42978314955186,-0.4161761818978651,-0.40692065023099483,-0.5741338081228362,1.7681732894739688,316.7
2019-01-04,-1.5161792151466635,-0.7108399833419955,-0.36012254146755907,-1.305364504877591,-0.7788741346919706,-0.9238544599531225,-1.697688762034142,-1.4308788733138154,1.6202980374813811,0.1104092783017527,-0.40692065023099483,-0.3975732839729453,-0.41155936083614564,-0.41155936083614564,-0.4161761818978651,-0.40692065023099483,-0.5741338081228362,1.7681732894739688,301.9
2019-01-05,-1.5348518854121056,-0.4572208678383418,-0.36012254146755907,-1.305364504877591,-1.1649653174458456,-0.9238544599531225,-1.8632966815956489,-1.2878091006662333,1.27281476659977,0.29580184570273127,-0.40692065023099483,2.5152595516655727,-0.41155936083614564,-0.41155936083614564,-0.4161761818978651,-0.40692065023099483,-0.5741338081228362,1.7681732894739688,313.2
2019-01-06,-1.5535245556775485,-0.6601161602412647,-0.36012254146755907,0.037402994409100006,-0.26408589102013724,-1.280022577568212,-1.5320808424726355,-1.6779993897050938,1.27281476659977,-1.224417206985293,-0.40692065023099483,-0.3975732839729453,2.42978314955186,-0.41155936083614564,-0.4161761818978651,-0.40692065023099483,-0.5741338081228362,1.7681732894739688,320.7
2019-01-07,-2.0576866528444993,-0.609392337140534,-0.36012254146755907,0.40361231239637974,-0.25336113594364074,-1.7786579422293372,-2.194512520718662,-1.6129676748652837,1.6202980374813811,-0.33453288346059584,2.4574815739440474,-0.3975732839729453,-0.41155936083614564,-0.41155936083614564,-0.4161761818978651,-0.40692065023099483,-0.5741338081228362,1.7681732894739688,319.4
2019-01-08,-1.9829959717827288,-0.3050493985361496,-0.36012254146755907,-0.3288063235781792,-0.2426363808671442,-1.6361906951833012,-1.8632966815956489,-1.3658471584740053,1.4465564020405757,-0.18621882953981297,-0.40692065023099483,-0.3975732839729453,-0.41155936083614564,-0.41155936083614564,2.4028285219008816,-0.40692065023099483,-0.5741338081228362,1.7681732894739688,307.9
2019-01-09,-1.8896326204555158,-0.4572208678383418,-0.36012254146755907,-0.5729458689030323,-0.2426363808671442,-1.4581066363757564,-2.194512520718662,-1.4308788733138154,1.4465564020405757,-0.7423965317427487,-0.40692065023099483,-0.3975732839729453,-0.41155936083614564,-0.41155936083614564,-0.4161761818978651,2.4574815739440474,-0.5741338081228362,1.7681732894739688,260.0
2019-01-10,-1.6655605772702045,-0.7615638064427263,-0.36012254146755907,0.15947276707152658,-0.23191162579064767,-1.280022577568212,-1.697688762034142,-1.5219232740895496,1.27281476659977,0.4811944131037098,-0.40692065023099483,-0.3975732839729453,-0.41155936083614564,2.42978314955186,-0.4161761818978651,-0.40692065023099483,-0.5741338081228362,1.7681732894739688,268.3
2019-01-11,-1.6282152367393188,-0.812287629543457,-0.36012254146755907,-0.45087609624060576,-0.5107552577795574,-1.1019385187606672,-1.8632966815956489,-1.5739486459613976,1.0990731311589645,0.073330764821557,-0.40692065023099483,-0.3975732839729453,-0.41155936083614564,-0.41155936083614564,-0.4161761818978651,-0.40692065023099483,-0.5741338081228362,1.7681732894739688,275.0
2019-01-12,-1.5535245556775485,-0.6601161602412647,-0.36012254146755907,-0.45087609624060576,-0.22118687071415113,-1.0307048952376496,-1.5320808424726355,-1.3398344725380815,1.0990731311589645,0.40703738614331836,-0.40692065023099483,2.5152595516655727,-0.41155936083614564,-0.41155936083614564,-0.4161761818978651,-0.40692065023099483,-0.5741338081228362,1.7681732894739688,294.1
2019-01-13,-1.5721972259429915,-0.3050493985361496,-0.36012254146755907,-0.6950156415654586,-0.5965532983915296,-1.1019385187606672,-1.697688762034142,-1.1057202991147652,1.4465564020405757,-0.14914031605961728,-0.40692065023099483,-0.3975732839729453,2.42978314955186,-0.41155936083614564,-0.4161761818978651,-0.40692065023099483,-0.5741338081228362,1.7681732894739688,301.2
2019-01-14,-1.5908698962084338,-0.4572208678383418,-0.36012254146755907,0.28154253973395316,-0.18901260548466156,-1.3156393893297207,-1.5320808424726355,-1.2748027576982714,1.6202980374813811,-0.5570039643417701,2.4574815739440474,-0.3975732839729453,-0.41155936083614564,-0.41155936083614564,-0.4161761818978651,-0.40692065023099483,-0.5741338081228362,1.7681732894739688,305.6
2019-01-15,-1.7402512583319747,-0.5079446909390726,-0.36012254146755907,0.15947276707152658,-0.8324979100744533,-1.3512562010912295,-1.697688762034142,-1.3918598444099295,1.4465564020405757,0.592429953544297,-0.40692065023099483,-0.3975732839729453,-0.41155936083614564,-0.41155936083614564,2.4028285219008816,-0.40692065023099483,-0.5741338081228362,1.7681732894739688,290.5
2019-01-16,-1.5161792151466635,-0.5586685140398033,-0.36012254146755907,-1.1832947322151646,-0.1675630953316685,-0.5676863423380332,-1.8632966815956489,-1.3528408155060434,1.0990731311589645,-0.07498328909922586,-0.40692065023099483,-0.3975732839729453,-0.41155936083614564,-0.41155936083614564,-0.4161761818978651,2.4574815739440474,-0.5741338081228362,1.7681732894739688,299.5
2019-01-17,-1.5348518854121056,-0.40649704473761106,-0.36012254146755907,-1.061224959552738,-0.156838340255172,-0.9238544599531225,-2.0289046011571554,-1.3008154436341952,1.0990731311589645,-1.4098097743862714,-0.40692065023099483,-0.3975732839729453,-0.41155936083614564,2.42978314955186,-0.4161761818978651,-0.40692065023099483,-0.5741338081228362,1.7681732894739688,282.0
2019-01-18,-1.2734345016959094,-0.7108399833419955,-0.36012254146755907,-0.45087609624060576,-0.14611358517867545,-0.7457704011455779,-1.5320808424726355,-1.2487900717623472,1.0990731311589645,-0.2603758565002044,-0.40692065023099483,-0.3975732839729453,-0.41155936083614564,-0.41155936083614564,-0.4161761818978651,-0.40692065023099483,-0.5741338081228362,1.7681732894739688,269.1
2019-01-19,-1.0867077990414833,-0.9137352757449184,-0.36012254146755907,-0.6950156415654586,-0.13538883010217892,-0.49645271881501557,-1.3664729229111288,-1.3788535014419674,1.0990731311589645,-1.07610315306451,-0.40692065023099483,2.5152595516655727,-0.41155936083614564,-0.41155936083614564,-0.4161761818978651,-0.40692065023099483,-0.5741338081228362,1.7681732894739688,260.2
